"","x"
"1",0.3536
"2",0.3401
"3",0.3638
"4",0.3736
"5",0.4417
"6",0.4947
"7",NA
"8",0.4947
"9",0.5397
"10",0.5946
"11",0.5943
"12",NA
"13",NA
"14",0.7232
"15",0.7725
"16",0.7671
"17",0.6911
"18",0.557
"19",0.4683
"20",0.3689
"21",0.3021
"22",0.2897
"23",0.2651
"24",0.3156
"25",0.2894
"26",0.4256
"27",0.4108
"28",0.4711
"29",0.5107
"30",0.5123
"31",0.5867
"32",0.5566
"33",0.597
"34",0.6172
"35",0.6957
"36",0.6876
"37",0.7604
"38",0.8207
"39",0.7464
"40",0.7108
"41",0.5806
"42",0.4146
"43",0.3755
"44",0.3093
"45",0.293
"46",0.3331
"47",0.5843
"48",0.5375
"49",0.5223
"50",0.5115
"51",0.4838
"52",0.4218
"53",0.4857
"54",0.5808
"55",0.5531
"56",0.5378
"57",0.6122
"58",0.6143
"59",0.6315
"60",0.6553
"61",0.6601
"62",0.6115
"63",0.488
"64",0.3405
"65",0.3001
"66",0.2805
"67",0.2714
"68",0.2853
"69",0.2826
"70",0.2716
"71",0.3041
"72",0.3144
"73",0.3178
"74",0.3241
"75",NA
"76",0.4283
"77",0.4452
"78",0.6118
"79",0.5877
"80",0.625
"81",0.6869
"82",0.7303
"83",0.8106
"84",0.7663
"85",0.7391
"86",0.7422
"87",0.6485
"88",0.494
"89",0.4335
"90",0.4006
"91",0.3421
"92",0.3527
"93",0.2962
"94",0.2912
"95",0.2903
"96",0.2964
"97",0.32
"98",0.3377
"99",0.4604
"100",0.6125
"101",0.6165
"102",0.6375
"103",NA
"104",0.7337
"105",0.7802
"106",0.8209
"107",0.7929
"108",0.795
"109",0.7249
"110",0.6711
"111",0.5374
"112",0.4411
"113",0.4189
"114",0.3761
"115",0.3866
"116",0.4985
"117",0.5057
"118",0.3973
"119",0.3734
"120",0.3438
"121",0.3369
"122",0.3439
"123",0.435
"124",0.5302
"125",0.5533
"126",0.6403
"127",0.642
"128",0.7142
"129",0.799
"130",0.7866
"131",0.7636
"132",0.7471
"133",0.6827
"134",0.5152
"135",0.488
"136",0.3862
"137",0.2879
"138",0.3139
"139",0.3159
"140",0.2877
"141",0.2827
"142",0.3549
"143",0.3347
"144",0.4149
"145",0.4166
"146",0.4446
"147",0.4146
"148",0.4779
"149",0.503
"150",0.5066
"151",0.5495
"152",0.5852
"153",0.4179
"154",0.333
"155",0.278
"156",0.2384
"157",0.2473
"158",0.2515
"159",0.2597
"160",0.2729
"161",0.2819
"162",0.2731
"163",0.3313
"164",0.3672
"165",0.3721
"166",0.4728
"167",0.5251
"168",0.7451
"169",0.7579
"170",0.7747
"171",0.717
"172",0.7198
"173",0.8025
"174",0.7527
"175",0.767
"176",0.7517
"177",0.5694
"178",0.4915
"179",0.37
"180",0.3738
"181",0.4846
"182",0.4094
"183",0.4361
"184",0.51
"185",0.5465
"186",0.4377
"187",0.4008
"188",0.4082
"189",0.4206
"190",0.508
"191",0.4726
"192",0.5421
"193",0.6043
"194",0.5958
"195",0.5974
"196",0.5683
"197",0.5881
"198",0.7112
"199",0.6461
"200",0.6248
"201",0.4189
"202",0.31
"203",0.2668
"204",0.25
"205",0.25
"206",0.2717
"207",0.2625
"208",0.2537
"209",0.2741
"210",0.258
"211",0.3372
"212",0.4666
"213",0.534
"214",0.616
"215",0.6724
"216",0.7257
"217",0.7341
"218",0.7671
"219",0.7188
"220",0.6968
"221",0.7078
"222",0.6772
"223",0.732
"224",0.6397
"225",0.4338
"226",0.3106
"227",0.2826
"228",0.2712
"229",0.2502
"230",0.3112
"231",0.3141
"232",0.4467
"233",0.4359
"234",0.5091
"235",0.6182
"236",0.5815
"237",0.5871
"238",0.5806
"239",0.6537
"240",0.6585
"241",0.6528
"242",0.7429
"243",0.7282
"244",0.7139
"245",0.7132
"246",0.7055
"247",0.7125
"248",0.6056
"249",0.5029
"250",0.5035
"251",0.543
"252",0.4644
"253",0.4778
